collection_id,n_tweets_in_range,avg_likes,avg_replies,avg_retweets,min_likes,min_replies,min_retweets,max_likes,max_replies,max_retweets
0,2,183,8.5,41,123,3,6,243,14,76
1,16,36.375,3.5625,13.9375,0,0,0,125,21,34
2,1,15,9,1,15,9,1,15,9,1
3,526,1.178707224,0.30608365,2.655893536,0,0,0,21,8,13
4,26,8.153846154,0.884615385,1.153846154,0,0,0,30,6,12
5,19,7.842105263,5.157894737,4,0,0,0,67,75,55
6,12,0,0,111.8333333,0,0,31,0,0,463
7,12,0,0,111.8333333,0,0,31,0,0,463
8,40,8.075,3.45,3.25,0,0,0,91,96,88
10,3,4,0.666666667,1.333333333,0,0,1,12,2,2
13,1,12,4,1,12,4,1,12,4,1
14,19,10.52631579,0.947368421,10.36842105,0,0,1,62,6,22
15,18,10.16666667,1.555555556,1.333333333,2,0,0,47,12,11
18,26,8.153846154,0.884615385,1.153846154,0,0,0,30,6,12
19,11,43.45454545,5.454545455,94.27272727,0,0,36,239,30,258
22,5,48.6,6.6,12.4,16,2,2,169,24,46
23,35,50.94285714,4.228571429,9.628571429,0,0,0,202,41,69
24,11,4.909090909,0.727272727,2,0,0,0,15,3,5
25,43,24.20930233,3.906976744,37.48837209,0,0,0,193,27,874
26,40,8.075,3.45,3.25,0,0,0,91,96,88
27,36,27.88888889,7.5,16.52777778,0,0,1,228,185,159
28,5,9.2,1.4,6.2,0,0,1,26,4,12
29,2,340.5,68.5,109,0,0,11,681,137,207
30,13,316.6923077,50.61538462,184.5384615,99,9,40,540,121,359
31,151,7.026490066,1.728476821,5.079470199,0,0,1,23,10,24
34,9,60.88888889,9.444444444,36.22222222,0,0,3,311,69,92
35,1,10,9,3,10,9,3,10,9,3
36,5,2,0.2,0.4,0,0,0,5,1,1
37,8,76,17,29.75,0,0,6,155,47,51
38,4,256.5,45,78,0,0,24,459,101,135
39,3,11.33333333,5.333333333,0.333333333,9,2,0,15,9,1
41,116,1.465517241,0.284482759,3.232758621,0,0,0,11,4,24
42,668,1.252994012,0.30239521,0.314371257,0,0,0,80,6,13
43,15,241,22.2,74.86666667,0,0,21,513,41,131
44,7,593.7142857,80.28571429,110.2857143,94,43,14,1532,153,386
45,11,133.1818182,13.45454545,55.18181818,0,0,7,402,47,239
46,1,2,0,0,2,0,0,2,0,0
47,41,54.80487805,6.243902439,27.41463415,0,0,3,315,49,143
48,3,19,8.666666667,14.66666667,12,3,9,28,13,22
49,31,187.9677419,8.290322581,60.93548387,0,0,2,591,28,380
50,3,227.3333333,61.33333333,103,116,52,37,297,74,162
51,18,7.555555556,0.888888889,8.166666667,0,0,1,56,7,43
53,8,707.875,103.875,314,236,26,46,1381,242,873
54,19,0,0,8.947368421,0,0,1,0,0,54
57,6,31.83333333,3.666666667,22.66666667,0,0,5,84,21,51
58,3,6.666666667,1.666666667,5.333333333,0,0,4,20,5,6
59,15,591.2,353.4,442,0,0,2,5079,2601,2990
60,8,707.875,103.875,314,236,26,46,1381,242,873
